transaction_id,customer_id,product_id,transaction_date,amount,currency,quantity,channel,status,discount_pct
T0001,C001,P101,2024-01-10,250.00,USD,2,online,completed,5
T0002,C002,P102,2024-01-11,1200.00,USD,1,store,completed,0
T0003,C003,P103,2024-01-12,75.50,CAD,3,online,completed,10
T0004,C004,P101,2024-01-13,-100.00,USD,1,online,completed,0
T0005,C005,P104,2024-01-14,3500.00,GBP,1,store,completed,15
T0006,C006,P102,2024-01-15,1200.00,USD,,online,completed,0
T0007,C007,P105,2024-01-16,89.99,EUR,2,online,pending,5
T0008,C008,P103,2024-01-17,150.00,USD,5,store,completed,0
T0009,C999,P101,2024-01-18,300.00,USD,1,online,completed,0
T0010,C010,P106,2024-01-19,4500.00,USD,1,store,completed,20
T0011,C011,P107,2024-01-20,200.00,USD,4,online,completed,0
T0012,C012,P108,2024-01-21,675.00,CAD,3,online,refunded,5
T0013,C013,P102,2024-01-22,1200.00,USD,2,store,completed,10
T0014,C014,P109,2024-01-23,450.00,USD,1,online,completed,0
T0015,C015,P110,2024-01-24,99.99,USD,2,online,completed,5
T0001,C001,P101,2024-01-10,250.00,USD,2,online,completed,5
T0016,C016,P101,2024-01-25,250.00,MXN,1,store,completed,0
T0017,C017,P103,2024-01-26,75.50,USD,3,online,completed,10
T0018,C018,P111,2024-01-27,9999999.00,USD,1,online,completed,0
T0019,C019,P104,2024-01-28,3500.00,USD,1,store,completed,15
T0020,C020,P112,2024-01-29,120.00,USD,2,online,completed,5
T0021,C001,P113,2024-01-30,180.00,USD,1,online,completed,0
T0022,C002,P114,2024-01-31,560.00,USD,2,store,completed,5
T0023,C003,P115,2024-02-01,340.00,CAD,4,online,completed,0
T0024,C004,P102,2024-02-02,1200.00,USD,1,online,failed,0
T0025,C005,P116,2024-02-03,800.00,GBP,1,store,completed,10
